text,label
@lamya_zouine si un homme peut avoir aussi peur qu'une femme c'est juste des clichés de merde tu vois pourquoi on dit que les hommes sont les persécuteurs parce que des femmes disent que c'est impossible qu'ils soient pas,none
@lamya_zouine c'est déjà arrivé à bien des hommes aussi seulement on le dit jamais,none
"@njordignir_ non mais je veux dire, que dans ce cas precis je pense pas que tu es peur, après jsp mais ta peur qu'une femme te suive dans la rue et te demande ton snap ? Rep sérieusement, si oui bah dsl je savais pas et si non c'est bien la preuve que celon les situations on a pas la même peur(ma phrase na pas de sens mais oklm😂)",none
@lamya_zouine c'est pas vraiment ça que je disais c'est que si une meuf me suis pour mon snap j'vais pas en faire un tout un plat et ensuite si tu as peur fais des sports de combat comme ça tu auras plus peur,none
"@njordignir_ oui, j'en suis consciente, c'est comme le viol ect mais malheureusement c'est plus a la femme que sa arrive et on nous prend pas au sérieux,exemple du viol, on va dire que c'est la faute dela femme car elle shabille comme une ****, que c'est sûrement elle qu'il la dragué ect, je pense que le plus gros défaut de la société c'est l'inégalité homme femme, et même si un homme à vécu une chose horrible, souvent la femme qui a vécu la même chose ne sera pas traité pareil 1)",none
"@njordignir_ et j'ai un 2ème exemple, quand un gars sort avec plusieurs filles, c'est un bad boy, un bg, quand une fille sort avec plein de mec c'est une sal*pe",none
"@njordignir_ bah j'ai fait de la boxe, et je sais très bien que si un gars vient me parler et qu'il force je vais vite le calmer, mais c'est pas juste 1 gars qui me fait peur, car ce qui me fait vraiment peur c'est quand ils sont plusieurs, et après je suis dacc que c'est pas un drame mais il faut quand même en parler",none
@lamya_zouine Evidement. Encore un pauvre chou qui n'est pas content de plus pouvoir se comporter comme un connard...,bullying
"@njordignir_ frero, on s'habille comme on veut. Si vous êtes des violeurs en chien, allez vous meme vous faire soigner en psychiatrie",bullying
@ana.mssn t'inquiète toi tu t'habilles comme tu veux avec ta gueule ta pas de risque de te faire baiser par quoi que ce soit,bullying
"@njordignir_ mec, tu fais l'apologie du viol, tu pense comme un violeur. Tu es dangereux, tu t'en rends compte de ça au moins ????",bullying
@njordignir_ thon,bullying
"@ana.mssn Ecoute pas le connard, tu es très belle. Lui il ose même pas mettre de photo de lui, ça en dit long...😂lâcheté booonnnjour.",bullying
Le rapport avc le féminisme le féminisme et dans l'extrême divisé homme femme oui c'est horrible se que l'on vie mais il ne sont pas tous comme ça ok !,none
@jadoulucia MERCI PUTAIN ENFIN UN TRUC AVEC UN CERVEAU c'est pas commun l'air de rien,none
"@jadoulucia Ouvre un dico ou au piiiiiiire une page google et va lire la définition du féminisme, merci😁.",none
@demoiselleamienoise nn merci c'est folles ne m'intéresse pas,sexism
"@jadoulucia Ah donc tu préfère rester dans ta connerie? Parce que visiblement tu n'a aucune idée de quoi tu parle....mais c'est vrais que les insultes gratuite sont l'apanage des gens sans arguments.😂 Petit rappel, Féminisme: Doctrine qui préconise l'égalité entre l'homme et la femme, et l'extension du rôle de la femme dans la société. Voilà voilà😁😁😁",bullying
Parce qu’on en a marre du patriarcat,none
@mikrokosluv ptdr,none
@mikrokosluv tu peux venir argumenter stp non évidement,none
@gn68324 je m’en bas les ovaires,none
@njordignir_ si tu le vois pas ce patriarcat je te conseille d’aller faire quelque chose pour ta vision en attendant ne me fait pas chier,bullying
@mikrokosluv oh je suis très bien renseigné dessus c'est plutôt toi qui devrais essayer d'étendre un petit peu plus ta vision des choses,bullying
"@nickt_alop le rapport avec le féminisme ? Et en plus tu ferai mieux de fermer ta gueule, je suis métisse ptdrr achète toi des yeux",bullying
@nickt_alop donne moi le rapport entre le débat qu’il y a là et ses origine ou sa couleur de peau ?,none
@nickt_alop putain mais alors vous on en fait de plus en plus ou quoi ? Complément con c'est pas possible. On est dans une société ou la femme ne peut pas s'habiller comme elle veut sans recevoir des insultes ou des remarques. Alors parle pas de privilège. Incroyablement con,bullying
En quoi le féminisme va changer ça ?,none
@guevara_duff rien évidemment mais c'est l'utopie des mal baisée des gros et des faibles,sexism
"@guevara_duff En gros? C'est censé faire évoluer les mentalités( en plus de nos droit). Si un homme dit ""non je suis pas interresser"" et qu'on l'ecoute/on l'accepte. Eh bien on doit faire la même chose pour une femme. Mais c'est toujours hilarant que le premier réflexe soit toujours d'insulter les femmes "" de mal baisée"" ou autre. Ça démontre bien ce qui est dénoncer ici. Certains mecs ont un tels égo qui refusent d'accepter qu'une femme ne veuille pas d'eux...Affligeant...non?",none
"@njordignir_ mdr des mal baisée cest clair quand on sait que 77% des femmes simulent avec vous et votre ""zizi magique"" qui est en réalité utile qu'à se faire avorter ya de quoi vous envoyer chier quand vous nous parlez",bullying
Alors je tiens à te signaler que tu viens tout juste de confirmer mes propos en disant que vous étiez des mal baisée donc je ni peux rien c'est les bougres que vous vous tapez réfléchissent avec leur bites pour ma part ce n'est pas mon cas et le rapport avec l'avortement ? Oui aucuns,sexism
@njordignir_ @kurtdedankills,none
"@njordignir_ bah ouais on est des mal baissées que quand on fait avec vous cest ça que je te dis, sérieusement tu vois pas le rapport entre un pénis et un avortement ?",bullying
Alors euh comme je te disais ce n'est pas ma faute si les bougres que tu prends pour ken son nul ensuite si tu simules tu es stupide le principe d'un couple si tu veux que ça tienne c'est de tout se dire mtn faut arrêter de croire que c'est que aux hommes de tout faire dans un couple et au pire deviens lesbienne en revanche je doute fort que ça soit plus convaincant,none
"Pas du tout.. quelque soit la couleur de peau. Le phénomène de communautarisme est le même, ce n’est pas parce que nous l’utilisons moins que les blancs que ce mot doit perdre de son sens. Quand je vois des blancs qui plus est du même pays ne vivre qu’ensemble dans le même quartier et traîner qu’ensemble je pense qu’il faut pas avoir peur d’appeler cela communautarisme. Y’a rien d’autre à chercher, j’entends des gens de couleur s’auto proclamer d’une diaspora, alors que ce n’est pas le vrai sens du mot et que c’est juste une façon détournée de ne pas dire communautarisme et de laisser ce mot aux blancs, mais faut pas aller chercher un sens cache ou il n’y en a pas… elle confonds sûrement avec l’amalgame quand elle parle d’individualité et ça c’est un autre problème qui la encore n’est pas propre aux blancs, on en fait tous..",none
@kidkenny tu ne dis rien garde ta salive,bullying
@moyza37 bel argumentaire 👏,none
@kidkenny 😂 les blancs toujours à l affût de ce qu on peut dire . Quitte y a d'autres pages si t es pas content,bullying
"@moyza37 si tu n’es pas capable d’entendre un avis contraire à ta doctrine et prendre un minimum de recul c’est pas à moi de m’en aller. J’ai juste exprimé clairement pourquoi je pense qu’elle se trompe, c’est sûrement une très bonne rappeuse et elle a certainement raisons sur plein de choses mais là, y’a rien, elle dit juste “on nous traite de communautaristes pour nous discriminer” alors que c’est un mot neutre qui décrit un phénomène de société, elle peut tout à fait l’utiliser pour parler d’autres communautés ça sera pas plus discriminant. Le fait qu’on se sente discriminé par cela est plus inquiétant sur l’estime que la communauté noire a d’elle même par contre.. après si tu penses que j’ai tort, je veux bien entendre tes arguments.",none
@kidkenny vire je te lis même pas ! 🤡🤥,bullying
@kidkenny réservée à notre communauté t es jaloux je ne discute avec vous . On nous traitera d'antisémites🥴😂 c est à la mode. Les blancs et leur point de vue dur notre communauté noire ne m m'interresse pas. Interresse toi awla tienne et a la pédophilie rampante chez vous,hate_speech
"@moyza37 wow ok, déjà tu parles à qui ? Car non seulement je suis noir, mais en plus on ne combat pas la discrimination par de la discrimination : c’est pas en excluant les blancs/autres que tu vas régler tes problèmes. Ensuite le rapport avec l’anti sémitisme et pédophilie ? Je comprends mieux…",none
@moyza37 t’es sûr que c’est pas toi le troll là ? Ce que tu dis n’a aucun sens..,bullying
@kidkenny 🤡🤡🤡🚮,bullying
Mouais c est un peu le drama pour pas grand chose... Et la personne qui filme et braille à tout va ne fait que rajouter du pathos de façon bien exagérée...calmons nous un peu,bullying
@jc_barron_ sa se voit tu fait partie de c'est matcho qui tabasse les femmes,hate_speech
@jc_barron_ je te souhaite d'être à leur place 😉 on verra si on parle toujours de drama barron de mes c*uilles.,bullying
@aka_ice_man haha allez je parie un point Godwin en 3 coups 😂,bullying
@jc_barron_ des gars comme toi j'en est tabassé par centaine pour mes copines ce qui me choque c'est que vous êtes des bêtes déchaîné face à vos femme par contre quand il s'agit de tête à tête je vous sèche en 2 second chrono sa commence à pleuré à dire des mêle toi de tes affaires lol,bullying
"@aka_ice_man mais t es un troll en fait ? Ou alors vu tes propos t 'as une relation a l'emploi de la force et de la violence physique justement pas mal problématique. Un peu comme les flics en fait.. Arrête de te la jouer chevalier blanc, les femmes même voilées n' ont pas besoin de toi et te tes ptits poings musclés pour se défendre redescend. Cette échange respéctueux et constructif est clos pour ma part",bullying
"@no_name.anything c est quoi le rapport avec mon nom là dedans ? Et je te permet pas de l'insulter stp, c'est un peu un amalgame de facho ça... Je manque de respect à personne j'aimerais bien qu'on en fasse autant. Je trouve que c est pas une arrestation ultre violente non plus, meme si ç est surement traumatisant pour cette dame, en mm tps ya aucun contexte dans cette vidéo et les gens s'emballent ! Faut arrêter de faire le mouton et de se faire enflammer juste avc des images hors contexte. Les gens sont en plein craquage en ce moment ! Et ton propos à mon égard en est bien la preuve",bullying
"@no_name.anything et en effet je suis non racisé cis blanc mâle et jai pourtant aussi subi des abus de pouvoir de la part des flics, c est fou dis donc 🙄 Les flics sont mal recrutés mal formés et partiellement racistes mais ça c est depuis leur fondation de tte façon",none
"@jc_barron_ ""un peu le drama pour pas grand chose"" ""rajouter du pathos bien exagéré"" genre c'est une comedia del arte? mais tu te relis ou tu casses des œufs? L'empathie tu connais pas..? Tu manques de respect en minimisant leurs actes. Tu aurai dit la même chose si c'était arrivé à ta mère ou ta fille? Cette indifférence ça m'écœure. Perso j'ai le contexte, le son et les images et ce qu'il se passe n'est pas normal. Ton commentaire est déplacé, avant de faire le mec outré ""calmons nous un peu"" renseigne toi et réveille toi, réagis! Quelqu'un se fait violenter et tu reste passif, mais quelle audace...",bullying
"@no_name.anything eh bien ne t'en déplaise mais selon moi, rien dans cette extrait ne permet de juger de quoi que ce soit... Sans contexte on peut faire dire n'importe quoi à des images.. L'idée de fond serait qu'on réussissent à se passer du corps policier, mais à la vue des propos comme les tiens ou des menaces de l'autre crétin qui m'a répondu, les gens sont loin d'être assez maîtres d 'eux même pour savoir s' auto-gérer, faire preuve de tempérance et maintenir la paix sociale. La société est de plus en plus violente et la police est à son image (et oui en effet si ça avait été ma mère ou ma copine, je leur aurais certainement sauté au cou, mais ça n'aurait certainement pas été la bonne façon d'agir non plus)",bullying
"@jc_barron_ ""juger quoi que ce soit sans le contexte"" bah demande le contexte gros malin, renseigne toi! Je ne m'indigne pas si un terroriste se fait buter, quand tu fais de la merde y a des conséquences. Là, en l'occurrence après m'être renseignée, oui, je m'indigne en fait. Traverser une rue ne mérite pas autant de violence.",bullying
Pauvres élus de la nupes mouvement qui puent,bullying
Il a toujours pué et encore plus depuis qu’il a rejoins les nupes !,bullying
Mais quel gros CO!#NARD !!!!!!,bullying
Ce type est à vomir 🤮 de bêtise humaine et alimentant l antisemitisme. Quelle honte de choisir le terrorisme !!!!!,bullying
C'est un inculte,bullying
Quelle merde ce journaliste..vraiment,bullying
fau pas confondre les marocains et le gouvernement marocain,none
@thibault_drb_ ces gens là qui vont au Qatar au lieu de boycotter cet État sioniste et en plus brandissent le drapeau de l'État marocain collé au drapeau palestinien sont dans une dissonance cognitive.,none
@maghrebantinwo vive la palestine,none
@nordinerifton bien sûr vive la Palestine mais pas l'État marocain le clown,hate_speech
@maghrebantinwo ton poste est super débile vraiment...,bullying
"@maghrebantinwo tu crois vraiment que le peuple n'a pas le droit de faire ça putain quel cerveau tu as, tu dois être algerien 💯",hate_speech
@medutbo débile ou vrai donc ça te dérange ? C'est toi le débile... Tu lèves un drapeau maçonnique shaytanesque et ÉTATIQUE assume au moins que tu soutiens des États collabos,bullying
@maghrebantinwo algérien jaloux 😂,hate_speech
@medutbo dès que la corruption de l'Etat marocain est pointée du doigt c'est forcément l'oeuvre d'Algériens ? 😂🤡 Encore un chekkam. Les Algériens au moins n'ont pas peur de dénoncer la corruption de l'État chez eux pas comme les lâches lèche-bottes comme toi... Arrêtez de parler d'Algérie quand le post concerne le Maroc.,hate_speech
@medutbo tu crois que tous les Marocains sont des 3eyyacha comme toi ? 😂 🤡,hate_speech
@maghrebantinwo pourquoi tu ne parles jamais de corruption algérienne dans tes postes ? Puis c'est moi le lâche car j'ai dit le peuple a le droit de lever le drapeau de palestine et qu'on s'en fou du gouvernement ?,bullying
@medutbo tout simplement parce que c DZ gay qui ferme les yeux sur la corruption algérienne,hate_speech
@maghrebantinwo si vous auriez dénoncer et si le peuple dz aurait été des zhomme comme vous dites il aurait dégager bouteflika le zoobie aveugle paraplégique depuis très longtemps meskine votre président était là comme un œuf juste pour que les généraux ce gave de l’argent en laissant les dz mourir de faim. 1 sac de lait wesh pour 2 semaines meme au Somalie on mange mieux 😂😂😂😂,bullying
arretes ta negativite,none
"@thibault_drb_ clique mais toi arrête d'être naïf... Soulever un drapeau maçonnique, et d'un État qui a imposé des vaccins à sa population vous avez vraiment une mémoire de poisson rouge...",bullying
@maghrebantinwo tu vas trop loin mec le maroc c est royaume si tu t amuse a faire le malin c la prison qui t attends a ton retour.,bullying
@thibault_drb_ euh t'es qui toi pour me dire ce que je dois faire d'abord ? + d'où tu me connais ?,none
@thibault_drb_ une question tu te prends pour qui ? Tu veux t'ériger en médiateur de menaces ? C'est pas des lâches en ton genre qui vont venir me donner des leçons et me dire quoi faire ou quoi dire,bullying
@maghrebantinwo je me prend pour un maricain de casa de derb sultan? tas unprobleme?,bullying
@thibault_drb_ oui un problème avec les lâches comme toi qui défendent les bourreaux du peuple et la mafia du NWO + tentent d'intimider les autres pour les empêcher de critiquer ce qu'ils veulent critiquer. Reste sagement à ta place,bullying
@maghrebantinwo restes sagement a ta place il me dit 😂 t es dans un film toi. allez,bullying
@thibault_drb_ oui amuse toi à faire le malin avec tes menaces sous-entendues et c'est toi qui verras mister je-collabore-et-je-me-tais. Tu es libre de fermer ta gueule sur le roi franc-maçon du Maroc (qui a imposé les injections à sa population et l'a empêchée de voyager sans pass NAZItaire) mais pas de l'imposer aux autres. L'admin de cette page n'a aucun ordre à recevoir de minables comme toi,bullying
@maghrebantinwo tu es un anti vax en plus 😂 beh bravooooooooo,bullying
@maghrebantinwo on était pas obliger d’avoir le vaccin pour voyager un simple test PCR de 48h 😂😂 bref même ici tu dis de la 💩 c’est sûr que toi tu étais obliger d’attendre 2 ans et demi si tu es blinder car 750e le billet aigle azur ça doit faire maaaaaaaaaal 😂😂😂 nous Dieu merci 150e même pas dès l’ouverture des frontières,bullying
"Ah et sache que ton Israël chérie sera ele aussi détruite, c'est écrit dans la lettre du franc maçon de 33e degré Albert Pike, sur le plan du Nouvel Ordre Mondial luciférien. Et les golems comme toi seront sacrifiés 🤡",hate_speech
@maghrebantinwo oh menace de mort ? Petit signalement on verra si tu vas rester longtemps sur insta. Vas donner ton petit Q au vieux gay ça t’ira bien de faire une page comme ça plutôt qu’une page politique où tt est faux,homophobia
@maghrebantinwo c toi la sous 💩 qui divise les pays et bizarrement tu parles jamais en mal de l’Algérie ! Je suis pas juive mais entre un juif et un algérien je préfère épouser un juif x2000 plutôt qu’un algérien,hate_speech
Drapeau maçonnique😂😂😂 arête la drogue,bullying
@nordinerifton c'est sûr que c'est un drapeau très islamique 🤡 De vrais clowns non informés mais qui parlent... ou plutôt des autruches qui font les monafi9in. Et t'es Rifain en plus.. quelle honte.,hate_speech
"@nordinerifton et tu oses mettre une photo-montage avec le drapeau de Lyautey sur la tête d'amghar Abdelkrim El Khattabi, qui a combattu contre ceci... t'es bon dans la dissonance cognitive toi 🤡🤡",bullying
"@maghrebantinwo arete un peu de dire nimporte quoi et reprend toi au lieu de foutre la zizanie,je vois que tu kiffes ça,hram hlik et pour info je suis pro palestinien et le maroc a fait beaucoup pour la palestine contrairement à certains.allez salem",bullying
@nordinerifton mais quel hypocrite... Notre page te dérange parce qu'on dit la vérité et on bouleverse les codes de votre hypocrisie 🤡,bullying
@nordinerifton dire que mettre le drapeau alaouite de Lyautey sur la tête d'Abdelkrim El Khattabi c'est foutre la zizanie ? Il doit se retourner dans sa tombe avec des gens comme toi 🥴,bullying
"@nordinerifton le Maroc n'a rien fait pour la Palestine juste de l'hypocrisie. Les rares fois où l'État marocain a fait quelque chose c'est ce qu'on appelle de la mu3arada mechriya (opposition contrôlée), du BLUFF, quoique le Maroc ne s'est JAMAIS dans l'histoire opposé à l'Etat sioniste normal le Maroc alaouite est sioniste par essence, sans maman Israël et papa USA l'État marocain tel qu'il est aujourd'hui (corrompu et 100% vendu à la mafia maçonnique et au NWO) n'existerait pas 🤡",hate_speech
"@maghrebantinwo tu parles trop dans le vide,tous les pays arabes et musulmans sont à la botte d'Israël,le seul homme qui a eut les de bombarder Israël c'est Saddam hussein allah y rahmo sinon tous le reste c'est des corrompus y compris ton pays alors arête de toujours viser le maroc,il y a pire que le maroc bref ça sert a rien de débattre avec un haineux comme toi",bullying
Resalam le collabo qui se dit rifain et met le drapeau de l'État marocain sur la tête d'Abdelkrim el Khattabi : le canal vise TOUS LES ÉTATS corrompus du Maghreb. Il y a aussi des posts sur l'État algérien et l'État tunisien pas que le Maroc.,none
Pour finir les collabos comme toi n'ont rien à faire sur cette page retourne lécher les babouches de tes maîtres sionistes et franc-maçons et bouge d'ici,hate_speech
Est ce que ce post a été créé par un algérien ? La réponse est oui… Faut apprendre à lire les commentaires et la position des photos pour voir le seum qui en découle 😂😂😂 bref c logique que le Maroc signe des trucs avec Israël vu que CHEZ NOUS les feuj se considèrent comme marocains a 100% comme Gad Elmaleh ils ont tjrs vécus libres et heureux contrairement aux feuj d’Algérie qui se disent jamais algérien mais des français d’Algérie comme dirait ce raciste de Zemmour 😂😂😂 et les marocains musulmans peuvent adorer la Palestine y a aucun souci même le royaume Maroc envoie bcp d’aide à l’état palestinien donc arrêter de mytho merci,hate_speech
"Franchement en matière de commentaires de golmons on peut pas vraiment faire mieux. Donc « logique de normaliser avec Israël parce que les juifs au Maroc se considèrent comme marocain ». Mais du coup qu’est ce qu’Israël a à voir dans cette histoire? Ils sont pleinement marocain non? Leur seul allégeance vas au Maroc non? Donc pk Israël j’ai pas capté. Et surtout pourquoi normaliser que maintenant? Les juifs marocains existent depuis très longtemps il me semble. N’essaye pas de trouver des excuses bidons à quelque chose de profondément immorale venant d’un état musulman. Tu envoie beaucoup d’aide à la Palestine mais en même temps tu normalise et fait affaire et soutiens l’état qui est la cause de tout les malheurs palestiniens. Bon au choix c’est à toi de voir c’est soit de la schizophrénie, de l’hypocrisie ou de l’opportunisme des plus cynique. Faut arrêter a un moment d’être autant malhonnête",hate_speech
"@ pas_la789 Est ce que ce commentaire a été écrit par un golem ? La réponse est oui ! Au cas où tu ne l'aurais pas remarqué la page dénonce la corruption de tous les États du Maghreb pas que l'État marocain. Ce qui est drôle avec les 3ayyacha défenseurs de leur État criminel et corrompu c'est que dès que la corruption étatique est dénoncée c'est forcément l'oeuvre d'un algérien, vous êtes incurables...",hate_speech
Au moins les Algériens eux dans leur majorité dénoncent la corruption étatique pas comme 90% des Marocains qui se taisent par hypocrisie ou par crainte alors qu'un vrai musulman doit pratiquer le djihad (lutte contre l'injustice sociale) et n'a peur que de Rebbi,none
