ID,Text,Label
62,@QuelleEpoqueOff @MLP_officiel @fredmusa @LeaSalame Tu n'a jamais vu la misère de tes pripre yeux vient voir un qua €¦ https://t.co/MtZcMrU1aI,Hate_Speech
63,"RT @SergeZaka: [Thread] L'épisode de froid se termine : aucune coupure d'électricité, aucune caractéristique d'une vague de froid, aucun re €¦",None
64,"RT @SergeZaka: [Thread] L'épisode de froid se termine : aucune coupure d'électricité, aucune caractéristique d'une vague de froid, aucun re €¦",None
65,@VSGPrince_ Gros bébé,Bullying
66,@naomifrms sal conne c'est une disquette,Bullying
67,"@nicolas_pillet Avec un petit coeur derrière le ""pute"", ça aurait tout changé.",Sexism
68,"RT @lRLwillgraham: ""credit  agricole""  fils  de pute  on  est  au  moyen  age  jdois  payer  le  seigneur  en  blé",Sexism
69,@saw_smt8 bientà´t tva passer dans sa radio aek un gros teh,None
70,"RT @Brolo97: @ghettoblaster57 @FrenchRapUS ""je le répète depuis octobre"" mais personne te connais gros",Bullying
71,"RT @MSF_france: [Journée internationale des migrant ·es] 
Les personnes migrantes subissent de graves atteintes quotidiennement aux frontièr €¦",None
72,@bukoluciowski @ArnaultRaphael @prefetrhone Faut àªtre bons joueurs. Et puis vous avez l'habitude de prendre des bra €¦ https://t.co/eJtvKdYlkX,None
73,"@Jordan31792334 @FranceRMCF @lequipe Il a dit qu'il ne SELECTIONNERAIT pas de joueurs incertains. 
Renvoyer un joue €¦ https://t.co/bjoFLfXy7E",None
74,@avi_atias Fils de pute,Sexism
75,RT @couchloukoum__: Dans le dossier harcèlement dans la télé-réalité on a pas assez parlé du cas Anais sur Martika,None
76,@CEncoreMoiEvan je suis trop conne je l'ai pas écrit,None
77,"@zazafontaine42 Merci douce Isabelle ðŸŒ¹ðŸ˜™
Tes amies peuvent àªtre d'un bon conseil , mais écoute ton coeur également . €¦ https://t.co/RVp2apNHlW",None
78,@elias__abs @Tokanim_FR En gros ils ont repris ça qui était dans le trailer pré anime https://t.co/kZGS96TAPF €¦ https://t.co/6NarzAULOl,None
79,"@ArSaintMartin @picharbonnier T'en avais du temps à  perdre dis donc pour nous concocter ce petit màªme, gros bosseur €¦ https://t.co/CpYsfVXPlY",None
80,RT @ihategu: écoute moi bien la sale pute qui a cassé la gueule a ma mère enceinte qui va au lycée fustel de coulange a massy dans le 91 je €¦,Sexism
81,RT @DeeploInsoumis: @Clem_Autain on aimerait comprendre par quel miracle vous àªtes passée de la défense de DSK au harcèlement de @AQuatenne €¦,None
82,@jd_forge @BastianelliRoma @Marcovert4 @MichelleTouss32 C'est en effet je pense le plus gros #Complot du 20ème sièc €¦ https://t.co/f9r4LnrA6f,None
83,"RT @franceinfo:  š¡ Violences conjugales : 208 000 victimes ont été recensées par le ministère de l'Intérieur en 2021, en hausse de 21% par r €¦",None
84,RT @FFLose: à‡a parle de Varane et Konaté malades mais le vrai gros risque c'est que la chatte à  DD choppe le fameux virus. Tant qu'elle ser €¦,None
85,"RT @BrahimTouza: @PatrickAdemo Mais sal débile on est à  2 doigt de rater l'avion tu tweet, concentre toi on est màªme pas à  l'aéroport on es €¦",Bullying
86,"PTDRRR mais à  aucun moment ils se sont dit que c'es une mauvaise idée "" T'es un renoi, t'es pas musulman. Tu pries €¦ https://t.co/3pc2wX8o4o",Hate_Speech
87,"RT @jfpoisson78: Crise #Covid_19, conflit #UkraineRussiaWar, mis au ban #orban et Hongrois...  L'UE se fait de plus en plus donneuse de leç €¦",None
88,RT @ihategu: écoute moi bien la sale pute qui a cassé la gueule a ma mère enceinte qui va au lycée fustel de coulange a massy dans le 91 je €¦,Sexism
89,"@GeekNfit @d_debats @AntoineGoya @WXelka Vu que de ton propre aveu, ta conception du débat se limite à  une joute ve €¦ https://t.co/bPsJgBFKEx",None
90,"RT @evatarace: Yousra nique bien ta mère sale pute, elle m'a vnr avec son tieb",Sexism
91,@blackstosaki @Shyowhynot Attention à  ce que tu réponds gros,Bullying
92,"RT @Clem_Autain: Salah Hamouri est expulsé en France après des mois de harcèlement judiciaire. 

Constitutant un précédent juridique, cette €¦",None
93,@AmauryBrelet J espère qu elle sera condamnée cette conne,Bullying
94,RT @49dloading: @a37sn 104 matchs en 2 mois sale gros puant,Bullying
95,"@tvlofficiel Le mec, il vivait dans une hutte en paille. En bafouant les lois de la France, il se retrouve à  vivre €¦ https://t.co/fGz9I0PqAz",None
96,RT @AlainSobi1: @JANGUYENVANTAM @pjacquemain @GDarmanin Et un gros collabo de l'islamo gauchisme.,Hate_Speech
97,@22Wiper @haaw_s @99itskeeee Dans tout les cas c'est un homme donc ce n'est pas de l'autodérision qu'est-ce que tu €¦ https://t.co/f8S8jI4Nki,None
98,RT @tanguiin: Faut àªtre un sacré fils de pute pour avoir porté le maillot de l'EDF et dire une chose pareille,Hate_Speech
99,@ghiiiiiis Poisson ascendant connasse ðŸ¤—ðŸ¤—,Bullying
100,"RT @alaingresh: @OrientXXI a atteint 90 % de son objectif. Lectrices et lecteurs encore un effort, 5000 euros à  collecter. Les petits comme €¦",None
101,RT @RomainCG75: Gros Rappel ! La France doit les éteindre dimanche. #ARGFRA #FIFAWorldCup  https://t.co/ORRdQsjnlY,None
102,"RT @JANGUYENVANTAM: @pjacquemain @GDarmanin Quand ton seul problème est qu'un élu souhaite un joyeux Noel, c'est que t'es vraiment déconnec €¦",None
103,Bonjour bonne journée gros gros bisous ðŸ˜‡ðŸ’¨ðŸ’¦ðŸ’‹ðŸ’‹ðŸ’‹ https://t.co/lxhmzUHhpA,None
104,"Plus besoin de déguisement, je suis définitivement votre plus gros clown. C'est fou ça. à‡a doit àªtre l'humour de me €¦ https://t.co/AChrG8cXjk",None
105,"@ks_mikey C'est un terme technique, notamment dans la création de jeux-vidéos. En gros c'est l'ordinateur qui génèr €¦ https://t.co/WhpxuT2PYb",None
106,@ActuFoot_ @Betclic arretez d'inciter aux paris sportifs bande de fils de pute,Hate_Speech
107,@RMCsport Oh mais vous ràªvez de lui ? Bande de clochard laissez le tranquille màªme quand il joue pas il prend toute €¦ https://t.co/8rAh9HzVqh,Hate_Speech
108,"Yaoundé aime les mariages avec les gros titres.
Il vient d'où ?
Ses parents font quoi?
Il a quel poste?",None
109,"@barriere_dr Ah bah ça va alors , ils sont pas morts tout va bien gros fils de pute",Hate_Speech
110,@Elisabeth_Borne janvier sera brulant pour la réforme des retraites ... J'etais meunier une retraite a 64/65 c'est €¦ https://t.co/nUoAAOPTTn,None
111,Y'a une tante qui m'a sorti :  «  t'as embelli   » en gros avant j'étais moche ðŸ˜¶,None
112,"RT @lae_gmz:  « j'suis attachée mais t'es un Renoi, t'es pas musulman, tu pries pas tu préfère dealer  » mais pitié qui gère la musique de We €¦",Hate_Speech
113,"RT @SergeZaka: [Thread] L'épisode de froid se termine : aucune coupure d'électricité, aucune caractéristique d'une vague de froid, aucun re €¦",None
114,Mdrrr jaurais grv été un renoi soukali sah https://t.co/jrneDZfjp6,Racism
115,"@BilgerPhilippe @lequipe Dans un pays de dormeurs, plus c'est gros et plus ça passe, c'est aussi ça la chienlit ins €¦ https://t.co/axV32d1QvS",None
116,RT @monsieurnaudin: S'il était migrant illégal et s'était appelé Djibril il aurait été logé dans un chà¢teau  €¦ Merci la France de #Macron ðŸ¤®ðŸ¤®ðŸ¤®,Hate_Speech
117,@HHigana En màªme temps regarde où il cale son gros orteil.,None
118,"@p_duval @pjacquemain @GDarmanin Je me répète : nos Pires ennemis sont, hélas, dans notre propre camp !
L'esprit €¦ https://t.co/QRTY4hmeCn",None
119,"Aller un petit Diablo à  96.66..666...666...666 USD. ðŸ¤£ðŸ¤£
En gros, vends ton à¢me au diable et fais toi Cucker. Cette m €¦ https://t.co/HgWxxgUeqq",None
120,"RT @Lass2fois: La 3e étoiles ou rien, fuck l'Argentine et ses gros suceurs",Hate_Speech
121,RT @so_mkb: Je vous demande rarement mais là  c'est hyper important alors que t'es un gros compte ou pas je me permets de te demander de ret €¦,None
122,"RT @Lass2fois: La 3e étoiles ou rien, fuck l'Argentine et ses gros suceurs",Hate_Speech
123,"ILS DOIVENT BIEN SE MARRER LE COUPLE FACTICE (LA PUTE ET Pà‰DALE) DE L'UKRAINE, DE VOIR LES STUPIDES CONS D'EUROPà‰EN €¦ https://t.co/WMlhCGkwI2",Hate_Speech
124,RT @charliemedusa: dans le métro bondé quelqu'un s'est fait pousser par des gens qui entraient en masse et a là¢ché  «  Pécresse  !!  » puis que €¦,None
125,"@siaraa123 @Mikaelhymst @letheoricien228 Les causes sont multiples. L'alimentation en fait parti comme les gènes, l €¦ https://t.co/Im2kPTcdl4",None
126,@_AlexdeCastro_ C'est juste un gros con ! C'est pas un scoop !,Bullying
127,RT @lux_morgana: Depuis le 20 novembre j'ai tjr laissé mon mec regarder la cdm en paix mais pour une soirée miss France c'est  «  prends la t €¦,None
128,@iNiize_ Nique ta mere la pute,Bullying
129,"@STERNDP @ZohraBitan Il y a parmi ces ""crétins"" des personnes qui cultivent leur propre cannabis pour justement sor €¦ https://t.co/kiSgFbTExh",None
130,"@x0n_i C'est pas condescendant c'est la réalité : Harcèlement, homophobie, transphobie, racisme... J'en ai vu passe €¦ https://t.co/j5ztv1XLJT",None
131,Travailler pour Edenred qui propose que 4% d'augmentation salariale... C'est vraiment des gros rat,Hate_Speech
132,"RT @LeaFrct: Ma petite sÅ“ur de 20 ans étudie à  #Bordeaux, elle vient de me raconter sa soirée après France-Maroc. Elle a croisé la route de €¦",None
133,"RT @GilbertCollard: En Espagne, à  #Calahorra, un migrant marocain détruit la crèche de Noël au marteau : il faut arràªter de croire que ces €¦",None
134,"RT @mutisalen: Pour le rattrapage des prières manquées depuis des années.

Vous pouvez vous organisez comme vous voulez.

Certains rajouten €¦",None
135,Si il se venge sur le renoi elle va faire la salope qui pleure c'est pour ça qu'ils font àªtre durs sur ces femmes q €¦ https://t.co/RmerRebw4i,Hate_Speech
136,@Lilouisback2 @nikop17 Elle avait qu'à  àªtre footballeuse cette connasse de @MarieLaureGB au lieu de se plaindre,Hate_Speech
137,"RT @GilbertCollard: En Espagne, à  #Calahorra, un migrant marocain détruit la crèche de Noël au marteau : il faut arràªter de croire que ces €¦",None
138,Go chercher les bières pour 16h.. un gros match nous attend ðŸ‡«ðŸ‡·,None
139,RT @E2Villiers: Devenez migrant l'Etat ðŸ™Œvous offre la vie de Chà¢teau ! ðŸ¥¹ https://t.co/7NbjfZ9aer,None
140,@jjgkluv Un gros gros manque vraiment ðŸ˜¢,None
141,@DM__700 @MUnitedFR @Plettigoal Lache ça gros vous aimez trop vous plaindre il performe faut le laisser,Bullying
142,"@sheeshhh234 @_BeFootball Mais vous àªtes débile, dernière WC de messi contre une équipe de France qui sera encore l €¦ https://t.co/QohUVKpTC9",Bullying
143,"@nathanpsmad à‡a suffit ce harcèlement contre la population ?!
Les gens savent ce qu'ils ont a faire bordel !
On fai €¦ https://t.co/H4kblxHeQC",None
144,N'en voulons pas à  Booker pour ça. Il est normal d'essayer d'atteindre la barre des 60 points. Zion a aussi tapé un €¦ https://t.co/TzINqUsQN6,None
145,"RT @Clem_Autain: Salah Hamouri est expulsé en France après des mois de harcèlement judiciaire. 

Constitutant un précédent juridique, cette €¦",None
146,@Lucy51602801 Bonjour ma jolie Lucy passe un magnifique dimanche et un bon match ALLEZ LA FRANCE ðŸ‡¨ðŸ‡µ gros gros bisou €¦ https://t.co/3e835ZtqXS,None
147,RT @ALEJANDRAPobeda: @zazafontaine42  ˜€ï¸ðŸ˜‡ ˜€ï¸ðŸ˜‡ ˜€ï¸ðŸ˜‡ ˜€ï¸ðŸ˜‡bon dimanche et gros bisous l'ami ˜€ï¸ ˜€ï¸ ˜€ï¸ ˜€ï¸ ˜€ï¸ ˜€ï¸ https://t.co/6CtXXTt1kk,None
148,"RT @BweliTribe: Pour cette dernière, nous avons mis à  contribution les 2 graphistes qui nous ont aidés en les faisant collaborer exceptionn €¦",None
149,@PepeTheCharles Bon anniversaire gros bg !,None
150,@Mz_78210 @nahel_weldik @lukelucassss7 @MontCorvo_Off En gros Zoro n'a jamais été plus rapide que king sans ses fla €¦ https://t.co/A2ULnE6rNl,None
151,RT @ihategu: écoute moi bien la sale pute qui a cassé la gueule a ma mère enceinte qui va au lycée fustel de coulange a massy dans le 91 je €¦,Sexism
152,"RT @Lass2fois: La 3e étoiles ou rien, fuck l'Argentine et ses gros suceurs",Hate_Speech
153,RT @lubellule4: Bonjour tout le monde je suis venue vous souhaiter un excellent dimanche en famille où entres ami(e)s le principal c'est d' €¦,None
154,@MARIA224K Car c'est des gros radin,Bullying
155,"Thriller, romance, harcèlement scolaire et combat https://t.co/9FnGsRUSz7",None
156,"RT @HeurafoodsFr: L'un des plus gros mythes perpétués par l'industrie de la viande animale, c'est de faire croire que manger de la viande l €¦",None
157,@guillain_amani @Didier_Bmnt @VolodimirZelen1 Quel argument débile ðŸ˜‚ðŸ˜‚ðŸ˜‚,Bullying
158,@Arrete2Tomy Gros respect pour ce qu'il fait à  coté mais là  cst ridicule mddr,None
159,"RT @inter_lignes: Slimane Bouhafs: comment le réfugié politique a été enlevé à  Tunis

https://t.co/GWmYVz7OqU",None
160,@honguurt à‡a me termine ils ont pris le temps de la flouter tout le long pour au final oublier un gros plan sur la €¦ https://t.co/dLxJmbMllQ,None
161,"RT @CelineJack2: Les gens qui publient H24 des gros textes sur les amitiés, les hypocrites, qui se croient trop vrai €¦c'est eux les pires ðŸ¤£ðŸ¤£ðŸ¤£",Bullying
162,"RT @boulaya242: Un outfit de l'extràªme droite , un négro black panthère €¦#boulaya242 #yesbb #Blois https://t.co/ypS0120XPw",Racism
163,RT @VeriteCourses: #FLOPDUJOUR 18/12- Q+ EPSOM D'HERFRAIE dont l'entraîneur a fait l'actu à  Maure-de-Bretagne en refusant un contrà´le sangu €¦,None
164,@LeCommisDOffice @Mimiche95728481 @LkhYoussra Elle a supprimé ? Je vois pas ce snap à  cette cochonne,Sexism
165,@charliezemmour Elle est de plus en plus débile cette femelle (je crois qu'il ne faut plus dire homme où femme),Homophobia
166,"@Nintendark Oui ça arrive régulièrement en fait. Là , c'est un gros problème qui tombe à  un mauvais moment, mais les €¦ https://t.co/fAzH4lKAvN",None
167,@ActuFoot_ @Betclic Ya des Français qui supporteront la France au lieu de l'Argentine alors que c'est la dernière c €¦ https://t.co/s5qnYbjleH,None
168,RT @IlanLamar: @Cdanslair Le gros problème chère madame c'est que les populations sont de plus en plus informées et en plus ont eu accès au €¦,None
169,comment bereal ça prend la teeeete wsh c l'heure de ton be real c l'heure de ton be real OH g pas envie fils de pute,Hate_Speech
170,@LoetitiaH Putain de débile congénitale et moche en plus.,Bullying
171,@Manchotcolat Yep c un gros fake,None
172,"RT @Crypto_Fast_: @Yamo_eth J'avais déjà  fait ça il y a quelques années, j'ai arràªter une fois que le gros bull run a commencer à  ralentir, €¦",None
173,"@Mayobaudouin2 @Mayobaudouin2
Vs n'àªtes pas intelligent..
Votre égo est très Gros il faut de l'ombre à  tout le rest €¦ https://t.co/encAUB5czz",Bullying
174,"RT @nausicalibre: @F_Desouche Si David s'appelait Omar et qu'il était faux migrant, il aurait une chambre au chaud dans un chà¢teau, par les €¦",Racism
175,"pitié.. faut vraiment que les rebeu sucré arràªte de faire des ""séries"" aussi merdique pensant avoir Dead ça... https://t.co/9kghy2dNj6",Racism
176,@MMArena_ Gros gros niveau tsarukyan! C'est un des seul qui peut crée un problème à  Machachev! Il mérite un top 5 !,None
177,@ningaucarre très bon groupe avc de bons vocals et rap mais le fait que y'a que wonyoung qui soit mise en avant ça €¦ https://t.co/4jYYhU94Yg,None
178,"RT @GERARDMANSOIF20: En cette journée de gros audimat ,je voudrais souhaiter un joyeux anniversaire à  Francis Chavanon 58 ans  de Vierzon i €¦",None
179,@Knaki_bool @petitcolibri75 @Nidou_MH4U @BlackAsta__ @Dragocmoi @heyomeech956 ok mais comme tu es bilingue tu confi €¦ https://t.co/pIVFXvY8rf,None
180,"RT @Tristzzer: 2 bémols sur le concert de Damso : les blancs sont tellement à  l'aise avec le n-word c'est maladif, ça chantait des gros :  « €¦",Racism
181,@PS_Th3o @Mikaelhymst @letheoricien228 Crois moi que si tu manges pas pendant 1 mois tu seras plus gros hein,Bullying
182,"@PuerSucette à‡a sent vraiment l'intoxication par les antibiotiques, la mycose de la bouche est un assez bon indicat €¦ https://t.co/3Ycp9Rehtj",None
183,@Mathafackzer Faut àªtre un bon gros segpa pour faire ça mdr,Hate_Speech
184,@argumente_stp @F_Desouche Pq presque ? Qd je vois par exemple cmt les délinquants sont tenus au Maroc par exemple €¦ https://t.co/U2HC7jJtkn,None
185,"RT @lae_gmz:  « j'suis attachée mais t'es un Renoi, t'es pas musulman, tu pries pas tu préfère dealer  » mais pitié qui gère la musique de We €¦",Hate_Speech
186,@Sabahlarnaque @Shiroineiko Enfaite y'a tellement de renoi qui veulent ça perte et qui s'en prenne à  lui uniquement €¦ https://t.co/bL1HeDV138,Racism
187,@parisienalamor Si il va au Antilles il va faire un AVC ce fils de pute,Hate_Speech
188,@NATLY12533573 @William85837998 @BouvetCatherin1 @EdePoncins @FranceenUkraine @MinColonna @francediplo Débile. Voil €¦ https://t.co/2ymDN9mNBI,Bullying
189,@NewmanJaderioux @grbxt @12Coups_tf1 Il me semble que c'est vous qui avez un gros problème pour proposer des répons €¦ https://t.co/bu2qHH3fdg,None
190,"@alexiscorbiere L'avantage d'àªtre gros, c'est que si on s'assoit sur toi, tu peux pas te relever et tu meurs asphyx €¦ https://t.co/qg9VSysphT",Bullying
191,@olbceltics Faut recruter un gros ailier surtout,None
192,RT @kingfi__: Yousra ses neurones ont sauté pendant son accident ou quoi? Elle est trop débile,Bullying
193,RT @lubellule4: Bonjour tout le monde je suis venue vous souhaiter un excellent dimanche en famille où entres ami(e)s le principal c'est d' €¦,None
194,"RT @LeCafeDuGeek: Jour 18 - #LaHotteLCDG #Concours ðŸŽ„
Aujourd'hui, gros cadeau ! @DenonFR nous propose de vous faire gagner le AH-1200. Fonc €¦",None
195,RT @RAbsolument: Espagne : Un migrant Marocain détruit une crèche de Noël à  Calahorra au marteau https://t.co/0AaQRL4Iws,None
196,"RT @DAMSOWORLD: Un gros coup de cÅ“ur personnel sur la façon d'annoncer les feats lors des Bercy.  œ¨

C'est original et la réaction du public €¦",None
197,@Yessongs1976 Quand tu enseigne l antifrance tu est un attardé on ne construit rien sur la haine de soi.,Bullying
198,RT @ALEJANDRAPobeda: @zazafontaine42  ˜€ï¸ðŸ˜‡ ˜€ï¸ðŸ˜‡ ˜€ï¸ðŸ˜‡ ˜€ï¸ðŸ˜‡bon dimanche et gros bisous l'ami ˜€ï¸ ˜€ï¸ ˜€ï¸ ˜€ï¸ ˜€ï¸ ˜€ï¸ https://t.co/6CtXXTt1kk,None
199,RT @Cafeaul29688502: @F_Desouche Pauvre gars il a dà» accepter son triste sort en silence des David comme lui il y en a beaucoup.  Pauvre de €¦,None
200,"@MaudLefebvre19 J ai pas trouvé l'original.
à‡a ressemble à  un gros fake.
Ceci dit il les a bien comparé à  des nazis chez Léa salamé.",Hate_Speech
201,"@CORNEVILLE Belle journée ma chérie 
Gros bisous ðŸ˜˜",None
202,RT @une242deretour: Et regardez ses tweets ignobles sur les renois. C'est juste un raciste avec un compte Fake qui est renoi à  mi temps. Se €¦,None
203,Le cas yousra la je vois certain tweet de maghrébins je comprend mieux pk y a les renoi qui disent qu'on est racist €¦ https://t.co/eodQww5qcC,None
204,"RT @AMBRE9806: Toujours egale a elle meme et en plus à  toujours compartimenter les personnes, élue miss conne 2022-2023 @sandrousseau @EELV €¦",None
205,"RT @CedricMas: #Ukraine Je continue ce matin à  publier sur la bataille de Bakhmut et le reste du conflit.
C'est sur le gros (adressé dans m €¦",None
